Dataset,Agent,Metric,Value
sse_multi,auto_merge,context_precision,0.407692307661282
sse_multi,auto_merge,context_recall,0.6200520833333334
sse_multi,auto_merge,faithfulness,0.7322615640822356
sse_multi,auto_merge,factual_correctness(mode=f1),0.5612121212121213
sse_multi,auto_merge,context_entity_recall,0.13137672083444946
sse_multi,auto_merge,answer_relevancy,0.8696798905797735
sse_multi,hybrid,context_precision,0.43410852710310077
sse_multi,hybrid,context_recall,0.6378246753246753
sse_multi,hybrid,faithfulness,0.7713589292466296
sse_multi,hybrid,factual_correctness(mode=f1),0.5492857142857143
sse_multi,hybrid,context_entity_recall,0.12208994687076483
sse_multi,hybrid,answer_relevancy,0.8684552407201344
sse_multi,openai,context_precision,0.44848309606004394
sse_multi,openai,context_recall,0.7095833333333333
sse_multi,openai,faithfulness,0.7610560729727109
sse_multi,openai,factual_correctness(mode=f1),0.5694318181818182
sse_multi,openai,context_entity_recall,0.1022755454468782
sse_multi,openai,answer_relevancy,0.8815419878798998
sse_multi,pinecone,context_precision,0.31060606058787876
sse_multi,pinecone,context_recall,0.6022727272727272
sse_multi,pinecone,faithfulness,0.638031446259184
sse_multi,pinecone,factual_correctness(mode=f1),0.5527272727272727
sse_multi,pinecone,context_entity_recall,0.09186507918898021
sse_multi,pinecone,answer_relevancy,0.8130298348804121
